Continent,Country,Population,GDP
North America,Trinidad and Tobago,1389858,23808146748
Africa,Tunisia,11565204,39871132268
Asia,Turkey,82319724,771350000000
Africa,Uganda,42723139,27461440192
Europe,Ukraine,44622516,130832000000
Asia,United Arab Emirates,9630959,414179000000
Europe,United Kingdom,66460344,2855300000000
South America,Uruguay,3449299,59596885024
North America,US,326687501,20544300000000
Asia,Uzbekistan,32955400,50499921558
South America,Venezuela,28870195,482400000000
Asia,Vietnam,95540395,245214000000
Asia,West Bank and Gaza,4569087,14615900000
Africa,Western Sahara,597339,908900000
Asia,Yemen,28498687,26914402224
Africa,Zambia,17351822,26720073436
Africa,Zimbabwe,14439018,31000519447
